FID;F_NAME;F_TYPE;ADDRESS;CITY;EASTING;NORTHING;COMMENTS;ZIPCODE;CREATE_DAT;MODIFY_DAT;AUDIT_DATE;geo_shape;geo_point_2d
50;Sunshine Fillpino Supplies LLC;Specialty;7449 US 72 W Hwy NW;Huntsville;387714.340117;1549563.14864;Grocery;35758;;;;"{""coordinates"": [-86.72704575313386, 34.75583204872124], ""type"": ""Point""}";34.75583204872124, -86.72704575313386
69;Jet Pep One Stop;Convenience Store;11451 Memorial Pky SE;Huntsville;435637.555623;1502904.5543;Convenience Store;35803;;;;"{""coordinates"": [-86.56638573186996, 34.628706455333045], ""type"": ""Point""}";34.628706455333045, -86.56638573186996
97;Lucky's;Supermarket;3420 Pulaski Pke NW;Huntsville;421177.371945;1554609.45384;Grocery;35810;;;;"{""coordinates"": [-86.6157842495107, 34.77046280189427], ""type"": ""Point""}";34.77046280189427, -86.6157842495107
107;Brothers Mini Mart;Convenience Store;3521 Governors Dr SW;Huntsville;421291.753934;1536123.18208;Convenience Store;35805;;;;"{""coordinates"": [-86.61492487695202, 34.71967622089668], ""type"": ""Point""}";34.71967622089668, -86.61492487695202
167;Fuel King Oakwood;Convenience Store;619 Oakwood Ave NW;Huntsville;428192.941903;1546732.40201;Convenience Store;35811;;;;"{""coordinates"": [-86.59222821630571, 34.74896927173723], ""type"": ""Point""}";34.74896927173723, -86.59222821630571
180;MinitMan;Convenience Store;10001 Memorial Pky SE;Huntsville;435762.281095;1509315.84987;Convenience Store;35803;;;;"{""coordinates"": [-86.56612608802534, 34.646323797495626], ""type"": ""Point""}";34.646323797495626, -86.56612608802534
43;Walmart Supercenter;Supermarket;8650 Madison Blv;Madison;383269.51633;1523376.73514;Grocery;35758;;;;"{""coordinates"": [-86.74105481629799, 34.68378026878384], ""type"": ""Point""}";34.68378026878384, -86.74105481629799
199;Kangaroo Express;Convenience Store;540 Jordan Ln NW;Huntsville;417787.261927;1538866.60015;Convenience Store;35805;;;;"{""coordinates"": [-86.62665769803313, 34.72713810059175], ""type"": ""Point""}";34.72713810059175, -86.62665769803313
54;Elkwood Grocery;Convenience Store;8233 Old Railroad Bed Rd;Toney;389548.677;1630134.69583;Grocery;35773;;;;"{""coordinates"": [-86.72332148277385, 34.977227833167], ""type"": ""Point""}";34.977227833167, -86.72332148277385
200;Kangaroo Express;Convenience Store;11040 Memorial Pky SW;Huntsville;435151.974901;1503198.45594;Convenience Store;35803;;;;"{""coordinates"": [-86.56800682313707, 34.62950423169589], ""type"": ""Point""}";34.62950423169589, -86.56800682313707
59;Circle C;Convenience Store;7546 Memorial Pky SW;Huntsville;433780.459599;1516492.64392;Convenience Store;35802;;;;"{""coordinates"": [-86.57288978917119, 34.66600197286145], ""type"": ""Point""}";34.66600197286145, -86.57288978917119
246;Family Dollar;Variety Store;3321 Triana Blv SW;Huntsville;423068.224134;1530474.75112;Variety Store;35805;;;;"{""coordinates"": [-86.60886897077916, 34.70419544142788], ""type"": ""Point""}";34.70419544142788, -86.60886897077916
63;Discount Daddies;Convenience Store;3490 AL 53 Hwy NW Unit A;Huntsville;407252.175386;1560309.3824;Convenience Store;35806;;;;"{""coordinates"": [-86.66230356611828, 34.78581567197206], ""type"": ""Point""}";34.78581567197206, -86.66230356611828
293;The Fresh Market;Supermarket;7950 US 72 W HWY;Madison;381416.392083;1549074.93111;Grocery;35758;2016-10-13T07:30:00+05:30;;;"{""coordinates"": [-86.74799519553868, 34.75433509837651], ""type"": ""Point""}";34.75433509837651, -86.74799519553868
64;Discount Food Mart;Convenience Store;624 Jeff Rd;Huntsville;391493.806968;1555518.80209;Convenience Store;35806;;;;"{""coordinates"": [-86.71463870430526, 34.77228578571073], ""type"": ""Point""}";34.77228578571073, -86.71463870430526
